dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
16111,35676557,Al Kabeer Frozen Chicken Samosas 12 pcs 240 gm,Al Kabeer,Samosa-Frozen,Chicken,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,90.91,66.67,85.5,exact,21.56,1,auto_high_confidence
16120,35679716,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16121,35679716,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16124,35683607,"Al Kabeer CHEESE OR MUTTON SAMOSAS, OR CHEESE SPRING ROLLS, 240 gm ",Al Kabeer,Samosa-Frozen,Other-Veg,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,15.57,1,auto_high_confidence
16126,35683607,"Al Kabeer CHEESE OR MUTTON SAMOSAS, OR CHEESE SPRING ROLLS, 240 gm ",Al Kabeer,Samosa-Frozen,Mutton,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,14.99,1,auto_high_confidence
16146,35701317,Al Kabeer Fish Sticks 1kg,Al Kabeer,Fish Fingers,No Variant,Breaded Seafood,1 kg,1,CFSA,FISH STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,89.4,80.0,76.0,exact,13.75,1,auto_high_confidence
16162,35715158,Al Kabeer CHICKEN KIBBEH 400gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.68,63.16,85.5,exact,20.69,1,auto_high_confidence
16174,35754579,Al Kabeer Chicken / Beef Kibbeh 400 gms,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16175,35754579,Al Kabeer Chicken / Beef Kibbeh 400 gms,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16201,35845261,Al Kabeer Chicken Burger Breaded Regular/Spicy 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,92.31,87.69,exact,10.28,1,auto_high_confidence
16202,35845261,Al Kabeer Chicken Burger Breaded Regular/Spicy 400 gm,Al Kabeer,Chicken Burger-Frozen,Unbreaded,Frozen Burger,400 gm,1,CCCB,CHICKEN BIRYANI 400,400 Gms x 12 Pkts,READY2EAT,90.26,64.81,85.5,exact,17.79,1,auto_high_confidence
16231,35900076,Al Kabeer Chicken Kibbeh 400gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.68,63.16,85.5,exact,20.69,1,auto_high_confidence
16263,35914980,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16264,35914980,ALKABEER CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16308,35938236,Al Kabeer Samosas Mutton/Cheese Cheese Spring Rolls 240 gm,Al Kabeer,Samosa-Frozen,Mutton,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,31.98,1,auto_high_confidence
16309,35938236,Al Kabeer Samosas Mutton/Cheese Cheese Spring Rolls 240 gm,Al Kabeer,Samosa-Frozen,Other-Veg,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,15.27,1,auto_high_confidence
16375,35950046,Breaded Chicken Burgers 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
16445,36138361,Al Kabeer BEEF OR CHICKEN KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.69,1,auto_high_confidence
16452,36138507,Alkabeer CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Beef Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16453,36138507,Alkabeer CHICKEN / BEEF KIBBEH 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,92.08,70.0,85.5,exact,20.88,1,auto_high_confidence
16503,36147234,Al Kabeer Breaded Chicken Burgers 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
16616,36295924,Al Kabeer Breaded Chicken Burgers 8 pcs 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,92.13,87.53,exact,41.36,1,auto_high_confidence
16628,36299114,Al Kabeer Chicken Burgers 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,10.06,1,auto_high_confidence
16633,36299267,Al Kabeer Breaded Chicken Burgers 400 gm ,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
16729,36478386,Al Kabeer Breaded Chicken Burgers 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
16743,36486716,Al Kabeer 8's Chicken Burger 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,96.13,86.96,82.61,exact,11.69,1,auto_high_confidence
16830,36700471,"Al Kabeer CHEESE OR MUTTON SAMOSAS, OR CHEESE SPRING ROLLS, 240 gm",Al Kabeer,Samosa-Frozen,Mutton,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,14.99,1,auto_high_confidence
16831,36700471,"Al Kabeer CHEESE OR MUTTON SAMOSAS, OR CHEESE SPRING ROLLS, 240 gm",Al Kabeer,Samosa-Frozen,Other-Veg,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,15.57,1,auto_high_confidence
16876,36721722,Al Kabeer - Samosas Mutton/Cheese Cheese Spring Rolls 240 gm,Al Kabeer,Samosa-Frozen,Other-Veg,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,15.27,1,auto_high_confidence
16877,36721722,Al Kabeer - Samosas Mutton/Cheese Cheese Spring Rolls 240 gm,Al Kabeer,Samosa-Frozen,Mutton,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,31.98,1,auto_high_confidence
16889,36724733,Al Kabeer Breaded Chicken Burgers 400 gm ,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
16946,36882290,"Al Kabeer CHICKEN & CHEESE STICKS, 1 kg",Al Kabeer,Chicken Cheese Stick-Frozen,No Variant,Frozen Barbeque Products,1 kg,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,91.97,69.7,85.5,exact,9.23,1,auto_high_confidence
16982,36898993,Al Kabeer Breaded Chicken Burgers 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
17047,37048220,"Al Kabeer CHEESE OR MUTTON SAMOSAS, OR CHEESE SPRING ROLLS, 240 gm",Al Kabeer,Samosa-Frozen,Mutton,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,14.99,1,auto_high_confidence
17049,37048220,"Al Kabeer CHEESE OR MUTTON SAMOSAS, OR CHEESE SPRING ROLLS, 240 gm",Al Kabeer,Samosa-Frozen,Other-Veg,"Frozen Pizzas, Wraps, Sandwiches",240 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,91.5,68.35,85.5,exact,15.57,1,auto_high_confidence
17208,37259478,Al Kabeer Zing Chicken Fillets 465 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,89.59,80.0,76.29,exact,22.76,1,auto_high_confidence
17228,37265190,Al Kabeer Chicken Kibbeh 400gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.68,63.16,85.5,exact,20.69,1,auto_high_confidence
17315,37447166,Al Kabeer Zing Chicken Fillets 465 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,89.59,80.0,76.29,exact,22.76,1,auto_high_confidence
17364,37592544,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,1,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,100.0,91.14,86.58,exact,29.82,1,auto_high_confidence
17371,37603514,Al Kabeer Chicken Seekh Kebab 320 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.04,61.33,85.5,exact,19.68,1,auto_high_confidence
17423,37685548,Al Kabeer Zing Chicken Fillets 465 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,89.59,80.0,76.29,exact,22.76,1,auto_high_confidence
17515,37845203,Al Kabeer Zing Chicken Fillet Spicy / Non Spicy 750 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,750 gm,1,CKZFNS,ZING CHICKEN FILLET NON-SPICY,8 X 750 GMS,FILLETS,100.0,92.47,87.85,exact,45.95,1,auto_high_confidence
17584,37873204,Al Kabeer Breaded Chicken Burgers 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,17.97,1,auto_high_confidence
17590,37906749,Al Kabeer Chicken Strips Non-spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKZSNS,ZING CHICKEN STRIPS NON-SPICY,8 X 750 GMS,STRIPS,91.68,82.35,78.24,exact,37.72,1,auto_high_confidence
17644,38053169,Al Kabeer Zing Chicken Strips 320 gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.58,79.37,76.61,exact,22.92,1,auto_high_confidence
17647,38053974,Al Kabeer Zing Chicken Fillets 465 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,89.59,80.0,76.29,exact,22.76,1,auto_high_confidence
17661,38064614,Al Kabeer Zing Chicken Fillets 465 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,89.59,80.0,76.29,exact,22.76,1,auto_high_confidence
17680,38104943,Al Kabeer Chicken Strips Non-Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKZSNS,ZING CHICKEN STRIPS NON-SPICY,8 X 750 GMS,STRIPS,91.68,82.35,78.24,exact,37.72,1,auto_high_confidence
