dataset,n,model,PR_AUC,Hit@1,Coverage@4,FullCover@4
held-out tail,29,base 19 features,0.5833935788875186,0.7241379310344828,0.9137931034482759,0.8620689655172413
held-out tail,29,+ 6 new features,0.6440520884510347,0.7586206896551724,0.9137931034482759,0.8620689655172413
all gold,160,base 19 features,0.9602748273552076,0.9375,0.9822916666666668,0.975
all gold,160,+ 6 new features,0.9646681855682564,0.94375,0.99375,0.99375
