model,Hit@1,PR_AUC,Coverage@4,FullCover@4
1 original,0.6551724137931034,0.5512181039220587,0.7931034482758621,0.7241379310344828
3 human-160,0.7241379310344828,0.5994969760841482,0.8620689655172413,0.7931034482758621
4 +synthetic,0.7931034482758621,0.6956434045083606,0.8620689655172413,0.7931034482758621
5 +features,0.7586206896551724,0.6662510554695108,0.8620689655172413,0.7931034482758621
6 +rank feats (NEW),0.7586206896551724,0.7897221594582431,0.8793103448275862,0.8275862068965517
