strategy,Recall@20,FullRecall@20,avg_candidates,Hit@1,Coverage@4,FullCover@4,Coverage@4_multiSKU
fuzzy,0.9817708333333334,0.96875,20.0,0.8125,0.9114583333333334,0.8958333333333334,0.8958333333333334
embedding,0.9791666666666666,0.9583333333333334,20.0,0.8229166666666666,0.8880208333333334,0.8645833333333334,0.8854166666666666
union,0.9947916666666666,0.9895833333333334,29.09375,0.8125,0.8958333333333334,0.875,0.875
