dataset,n,model,PR_AUC,Hit@1,Coverage@4,FullCover@4
held-out tail,29,1 original,0.5226181164250097,0.6551724137931034,0.7931034482758621,0.7241379310344828
held-out tail,29,2 human-100,0.484696745809222,0.6896551724137931,0.9137931034482759,0.8620689655172413
held-out tail,29,3 human-160,0.5833935788875186,0.7241379310344828,0.9137931034482759,0.8620689655172413
all gold,160,1 original,0.5158580161326551,0.7375,0.88125,0.84375
all gold,160,2 human-100,0.8466496257658259,0.86875,0.9572916666666668,0.9375
all gold,160,3 human-160,0.9602748273552076,0.9375,0.9822916666666668,0.975
