model,PR_AUC,Hit@1,Coverage@4,FullCover@4
1 original (auto labels),0.5226181164250097,0.6551724137931034,0.7931034482758621,0.7241379310344828
2 human 100 rows,0.484696745809222,0.6896551724137931,0.9137931034482759,0.8620689655172413
3 human 160 rows (NEW),0.5833935788875186,0.7241379310344828,0.9137931034482759,0.8620689655172413
